step,simulation_step,timestamp,soc,tes_avg_temp_c,tes_set_echo,tes_use_avail_echo,tes_source_avail_echo,chiller_avail_echo,tes_use_side_kw,tes_source_side_kw,tes_tank_temp_c,zone_temp_c,outdoor_drybulb_c,outdoor_wetbulb_c,chiller_electricity_kw,chiller_cooling_kw,facility_electricity_kw,purchased_electricity_kw,pv_kw,grid_import_kw,pv_adjusted_cost,price_per_kwh,tes_set_command,controller,price_per_kwh_action,pv_kw_action,soc_action,tes_set,q_tes_net_kw_th_pred,q_chiller_kw_th_pred,solver_status,solver_time_s,fallback,fallback_reason,tes_set_written
0,142,2024-01-02 11:30:00,1.0,6.113256085759422,0.0,0.0,0.0,1.0,0.0,0.0,6.114453592700443,24.592516500048188,6.075,0.6218635592783951,0.0,0.0,7195.9076559020505,7195.9076559020505,0.0,7195.9076559020505,52.17033050528987,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
1,143,2024-01-02 11:45:00,1.0,6.1140544240195025,0.0,0.0,0.0,1.0,0.0,0.0,6.115251941068113,24.593322822132237,6.2,0.5840112608701508,0.0,0.0,7191.672187910984,7191.672187910984,0.0,7191.672187910984,52.139623362354634,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
2,144,2024-01-02 12:00:00,1.0,6.1148527697654735,0.0,0.0,0.0,1.0,0.0,0.0,6.116050290018414,24.594064661902895,6.65,0.8208223662979949,0.0,0.0,7220.36447226992,7220.364472269918,258.42,6961.94447226992,50.47409742395692,0.029,0.0,no_control,0.029,258.42,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
3,145,2024-01-02 12:15:00,1.0,6.115651118409943,0.0,0.0,0.0,1.0,0.0,0.0,6.116848636765351,24.59642942873418,7.1,1.0516422008807484,0.0,0.0,7255.7972661485965,7255.797266148595,0.0,7255.7972661485965,52.604530179577324,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
4,146,2024-01-02 12:30:00,1.0,6.116449466251034,0.0,0.0,0.0,1.0,0.0,0.0,6.117647051427962,24.657857978629366,7.55,1.2763388334190886,0.0,0.0,7236.431830486431,7236.431830486432,0.0,7236.431830486431,52.464130771026625,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
5,147,2024-01-02 12:45:00,1.0,6.117247846983769,0.0,0.0,0.0,1.0,0.0,0.0,6.11844808586887,24.799926682196514,8.0,1.4947750578768417,0.0,0.0,7210.89073195301,7210.89073195301,0.0,7210.89073195301,52.27895780665933,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
6,148,2024-01-02 13:00:00,1.0,6.118047571522184,0.0,0.0,0.0,1.0,0.0,0.0,6.119255224056239,24.966027744697833,8.25,1.6523147340447815,0.0,0.0,7206.646417872696,7206.646417872695,189.3,7017.346417872695,145.60993817085844,0.083,0.0,no_control,0.083,189.3,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
7,149,2024-01-02 13:15:00,1.0,6.118851657881585,0.0,0.0,0.0,1.0,0.0,0.0,6.120069504056559,25.14738048705314,8.5,1.8089470780802173,669.6196666393807,2226.930178639976,8921.490853374456,8921.490853374455,0.0,8921.490853374456,64.68080868696481,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
8,150,2024-01-02 13:30:00,1.0,6.119662367001527,0.0,0.0,0.0,1.0,0.0,0.0,6.120891584520997,25.212372403687308,8.75,1.9646700896424094,800.7094499003526,2662.8907828443434,9054.472016380965,9054.472016380965,0.0,9054.472016380965,65.644922118762,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
9,151,2024-01-02 13:45:00,1.0,6.120480547235493,0.0,0.0,0.0,1.0,0.0,0.0,6.121716437715076,25.23003148183063,9.0,2.119475440788934,890.7996127520938,2962.5004156677137,9145.19622569841,9145.196225698412,0.0,9145.19622569841,66.30267263631347,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
10,152,2024-01-02 14:00:00,1.0,6.121304014107656,0.0,0.0,0.0,1.0,0.0,0.0,6.122542018491352,25.235138135433356,9.15,2.242842100063941,964.5479554471341,3207.7626416063595,9219.119631471754,9219.119631471753,307.86,8911.259631471754,184.9086373530389,0.083,0.0,no_control,0.083,307.86,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
11,153,2024-01-02 14:15:00,1.0,6.122129231089614,0.0,0.0,0.0,1.0,0.0,0.0,6.123367784487439,25.236746604285134,9.3,2.366123912822236,1030.5250392065768,3427.180269615912,9285.144326711976,9285.144326711974,0.0,9285.144326711976,67.31729636866183,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
12,154,2024-01-02 14:30:00,1.0,6.122954904463445,0.0,0.0,0.0,1.0,0.0,0.0,6.124193584552419,25.237288190601305,9.45,2.4893150971239573,1093.3107292938382,3635.984393819387,9347.943874630704,9347.943874630702,0.0,9347.943874630704,67.77259309107261,0.029,0.0,no_control,0.029,0.0,1.0,0.0,0.0,0.0,not_used,0.0,False,,0.0
